grant_name,state,amount,industry,slug,deadline,description
California Veteran Business Support Grant,California,"$5,000",Varies,california-veteran-business-support-grant,December 2026,"Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. Small business owners in California can now access the California Veteran Business Support Grant to scale their operations. Applying for the California Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Small business owners in Illinois can now access the Illinois Women-Owned Startup Fund to scale their operations. This $25,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Illinois Innovation Research Grant (SBIR),Illinois,"$150,000",Technology,illinois-innovation-research-grant-sbir,December 2026,"Funding is the lifeblood of innovation, and the Illinois Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Illinois Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Illinois Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Illinois Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Illinois Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. "
Pennsylvania Innovation Research Grant (SBIR),Pennsylvania,"$150,000",Technology,pennsylvania-innovation-research-grant-sbir,December 2026,The Pennsylvania Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Pennsylvania. Applying for the Pennsylvania Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Pennsylvania Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Pennsylvania. Applying for the Pennsylvania Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Pennsylvania Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Pennsylvania. Applying for the Pennsylvania Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. The Pennsylvania Innovation Research Grant (SBIR) represents a significant opportunity for entrepreneurs in Pennsylvania. Applying for the Pennsylvania Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Pennsylvania-exclusive funding opportunity. Ensure your documentation is ready before submitting. 
Texas Veteran Business Support Grant,Texas,"$5,000",Varies,texas-veteran-business-support-grant,December 2026,"The Texas Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Texas Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Texas Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The Texas Veteran Business Support Grant represents a significant opportunity for entrepreneurs in Texas. Applying for the Texas Veteran Business Support Grant allows Varies professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
North Carolina Growth Grant for Minorities,North Carolina,"$10,000",General,north-carolina-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the North Carolina Growth Grant for Minorities provides exactly that for General companies. This $10,000 injection is specifically earmarked for businesses that demonstrate a commitment to local economic development. Don't miss the deadline for this North Carolina-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Georgia Innovation Research Grant (SBIR),Georgia,"$150,000",Technology,georgia-innovation-research-grant-sbir,December 2026,"Funding is the lifeblood of innovation, and the Georgia Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Georgia Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Georgia Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Georgia Innovation Research Grant (SBIR) provides exactly that for Technology companies. Applying for the Georgia Innovation Research Grant (SBIR) allows Technology professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Technology firms that have been operational for at least 12 months. "
Ohio Growth Grant for Minorities,Ohio,"$10,000",General,ohio-growth-grant-for-minorities,December 2026,"Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Ohio Growth Grant for Minorities provides exactly that for General companies. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in Ohio. Don't miss the deadline for this Ohio-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
North Carolina Veteran Business Support Grant,North Carolina,"$5,000",Varies,north-carolina-veteran-business-support-grant,December 2026,"The North Carolina Veteran Business Support Grant represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in North Carolina. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The North Carolina Veteran Business Support Grant represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in North Carolina. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The North Carolina Veteran Business Support Grant represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in North Carolina. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. The North Carolina Veteran Business Support Grant represents a significant opportunity for entrepreneurs in North Carolina. With a total award of $5,000, this program is designed to offset the rising costs of labor and technology in North Carolina. As of May 2026, applications are being prioritized for Varies firms that have been operational for at least 12 months. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. Funding is the lifeblood of innovation, and the Illinois Women-Owned Startup Fund provides exactly that for Retail/Service companies. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Florida Green Energy Expansion Grant,Florida,"$50,000",Sustainability,florida-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Florida Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Florida Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Florida Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Florida Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Florida Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Florida-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
Illinois Women-Owned Startup Fund,Illinois,"$25,000",Retail/Service,illinois-women-owned-startup-fund,December 2026,"The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. The Illinois Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Illinois. Applying for the Illinois Women-Owned Startup Fund allows Retail/Service professionals to focus on long-term growth without the burden of traditional high-interest loans. As of May 2026, applications are being prioritized for Retail/Service firms that have been operational for at least 12 months. "
Ohio Women-Owned Startup Fund,Ohio,"$25,000",Retail/Service,ohio-women-owned-startup-fund,December 2026,"The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Women-Owned Startup Fund, helping you navigate the complex US grant landscape. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Women-Owned Startup Fund, helping you navigate the complex US grant landscape. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Women-Owned Startup Fund, helping you navigate the complex US grant landscape. The Ohio Women-Owned Startup Fund represents a significant opportunity for entrepreneurs in Ohio. With a total award of $25,000, this program is designed to offset the rising costs of labor and technology in Ohio. Our directory provides the roadmap to securing the Ohio Women-Owned Startup Fund, helping you navigate the complex US grant landscape. "
Georgia Green Energy Expansion Grant,Georgia,"$50,000",Sustainability,georgia-green-energy-expansion-grant,December 2026,"Funding is the lifeblood of innovation, and the Georgia Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Georgia Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Georgia Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. Funding is the lifeblood of innovation, and the Georgia Green Energy Expansion Grant provides exactly that for Sustainability companies. Applying for the Georgia Green Energy Expansion Grant allows Sustainability professionals to focus on long-term growth without the burden of traditional high-interest loans. Don't miss the deadline for this Georgia-exclusive funding opportunity. Ensure your documentation is ready before submitting. "
California Growth Grant for Minorities,California,"$10,000",General,california-growth-grant-for-minorities,December 2026,"The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in California. Our directory provides the roadmap to securing the California Growth Grant for Minorities, helping you navigate the complex US grant landscape. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in California. Our directory provides the roadmap to securing the California Growth Grant for Minorities, helping you navigate the complex US grant landscape. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in California. Our directory provides the roadmap to securing the California Growth Grant for Minorities, helping you navigate the complex US grant landscape. The California Growth Grant for Minorities represents a significant opportunity for entrepreneurs in California. With a total award of $10,000, this program is designed to offset the rising costs of labor and technology in California. Our directory provides the roadmap to securing the California Growth Grant for Minorities, helping you navigate the complex US grant landscape. "
